Code	Indication	Categories	Regimen	URL
00731a	Neoadjuvant treatment of adult patients with HER2-positive locally advanced, inflammatory or early breastcancer at high risk of recurrence.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	docetaxel, carboplatin, trastuzumab (s/c) and pertuzumab (tch(s/c)p)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/731-docetaxel-carboplatin-trastuzumab-s-c-and-pertuzumab-tch-s-c-p-therapy.pdf
00252a	Adjuvant Treatment of High Risk Node Negative or Node Positive Breast Cancer.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	doxorubicin and cyclophosphamide (ac 60/600) therapy - 21 days	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/252.pdf
00260a	Neoadjuvant or Adjuvant Treatment of High Risk NodeNegative or Node Positive Breast Cancer.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	doxorubicin, cyclophosphamide followed by weekly paclitaxel therapy (ac-t)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/260-doxorubicin-cyclophosphamide-followed-by-weekly-paclitaxel-therapy-ac-t-.pdf
00485a	Adjuvant Treatment of High Risk Node Negative or Node Positive Breast Cancer.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	dose dense doxorubicin, cyclophosphamide (ac 60/600) 14 day followed by paclitaxel (80) 7 day therapy (dd ac-t)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/485.pdf
00485b	Neoadjuvant Treatment of High Risk Node Negative or Node Positive Breast Cancer.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	dose dense doxorubicin, cyclophosphamide (ac 60/600) 14 day followed by paclitaxel (80) 7 day therapy (dd ac-t)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/485.pdf
00278a	Adjuvant treatment of High Risk Node Negative or Node Positive Breast Cancer.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	dose dense doxorubicin, cyclophosphamide (ac 60/600) 14 day followed by paclitaxel (175) 14 day therapy (dd ac-t)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/278-dose-dense-doxorubicin-cyclophosphamide-ac-60-600-14-day-followed-by-paclitaxel-175-14-day-therapy-dd-ac-t-.pdf
00278b	Neoadjuvant treatment of High Risk Node Negative or Node Positive Breast Cancer.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	dose dense doxorubicin, cyclophosphamide (ac 60/600) 14 day followed by paclitaxel (175) 14 day therapy (dd ac-t)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/278-dose-dense-doxorubicin-cyclophosphamide-ac-60-600-14-day-followed-by-paclitaxel-175-14-day-therapy-dd-ac-t-.pdf
00432a	Adjuvant Treatment of HER2 positive, High Risk Node Negative or Node Positive Breast Cancer.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	doxorubicin, cyclophosphamide (ac 60/600) 21 day followed by weekly paclitaxel (80) and weekly trastuzumab therapy (ac-th)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/432-doxorubicin-cyclophosphamide-followed-by-weekly-paclitaxel-80-and-weekly-trastuzumab-therapy-ac-th-.pdf
00432b	Neoadjuvant Treatment of HER2 positive, High Risk Node Negative or Node Positive Breast Cancer..	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	doxorubicin, cyclophosphamide (ac 60/600) 21 day followed by weekly paclitaxel (80) and weekly trastuzumab therapy (ac-th)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/432-doxorubicin-cyclophosphamide-followed-by-weekly-paclitaxel-80-and-weekly-trastuzumab-therapy-ac-th-.pdf
00433a	Adjuvant Treatment of HER2 positive, High Risk Node Negative or Node Positive Breast Cancer.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	dose dense doxorubicin, cyclophosphamide (ac 60/600) 14 day followed by weekly paclitaxel (80) and weekly trastuzumab therapy (dd ac-th)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/433-dose-dense-doxorubicin-cyclophosphamide-ac-60-600-14-day-followed-by-weekly-paclitaxel-80-and-weekly-trastuzumab-therapy-dd-ac-th-.pdf
00433b	Neoadjuvant Treatment of HER2 positive, High Risk Node Negative or Node Positive Breast Cancer.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	dose dense doxorubicin, cyclophosphamide (ac 60/600) 14 day followed by weekly paclitaxel (80) and weekly trastuzumab therapy (dd ac-th)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/433-dose-dense-doxorubicin-cyclophosphamide-ac-60-600-14-day-followed-by-weekly-paclitaxel-80-and-weekly-trastuzumab-therapy-dd-ac-th-.pdf
00316a	Adjuvant Treatment of HER2 positive, High Risk Node Negative or Node Positive Breast Cancer.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	dose dense doxorubicin, cyclophosphamide (ac 60/600) 14 day followed by paclitaxel (175) 14 day and trastuzumab	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/316-dose-dense-doxorubicin-cyclophosphamide-ac-60-600-14-day-followed-by-paclitaxel-175-14-day-and-trastuzumab-therapy-dd-ac-th-.pdf
00316b	Neoadjuvant Treatment of HER2 positive, High Risk Node Negative or Node Positive Breast Cancer.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	dose dense doxorubicin, cyclophosphamide (ac 60/600) 14 day followed by paclitaxel (175) 14 day and trastuzumab	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/316-dose-dense-doxorubicin-cyclophosphamide-ac-60-600-14-day-followed-by-paclitaxel-175-14-day-and-trastuzumab-therapy-dd-ac-th-.pdf
00262a	Adjuvant treatment for operable breast carcinoma.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	epirubicin 90 and cyclophosphamide (ec90)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/262.pdf
00376a	Adjuvant treatment of postmenopausal women with hormone receptor positive invasive early breast cancer.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	exemestane	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/376.pdf
00376b	Extended adjuvant treatment of hormone-dependent invasive breast cancer in postmenopausal women who have received prior adjuvant endocrine therapy.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	exemestane	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/376.pdf
00265a	Neoadjuvant treatment for breast carcinoma.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	5-fluorouracil, epirubicin 100 and cyclophosphamide (fec 100)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/265.pdf
00265b	Adjuvant treatment for breast carcinoma.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	5-fluorouracil, epirubicin 100 and cyclophosphamide (fec 100)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/265.pdf
00371a	Adjuvant treatment of postmenopausal women with hormone receptor positive invasive early breast cancer.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	letrozole	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/371.pdf
00371b	"Extended adjuvant treatment of hormone-dependent-invasive breast cancer in postmenopausal women who have received prior adjuvant endocrine therapy for 5 years.
Extended adjuvant treatment of hormone-dependent invasive breast cancer in postmenopausal women who have received prior adjuvant endocrine therapy for 5 years."	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	letrozole	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/371.pdf
00371d	Neo-adjuvant treatment of postmenopausal women with hormone receptor positive breast cancer.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	letrozole	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/371.pdf
00720a	Extended adjuvant treatment of adults with early-stage hormone receptor-positive, HER2-overexpressed/amplified breast cancer and who completed adjuvant trastuzumab-based therapy less than one year ago.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	neratinib	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/720.pdf
00512a	Adjuvant Treatment of HER2 positive, Node-Negative Breast Cancer of tumor size ≤3cm.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	paclitaxel (80) and trastuzumab therapy - 7 day (12 weeks)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/512-paclitaxel-80-and-trastuzumab-therapy-%E2%80%93-7-day-12-weeks-.pdf
00785a	Pertuzumab/ trastuzumab (Phesgo®) for the maintenance treatment of adult patients with HER2- positive metastatic or locally recurrent unresectable breast cancer, where this is a continuation of treatment for patients who have completed the chemotherapy component of the treatment.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	pertuzumab and trastuzumab (phesgo®) maintenance	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/785-pertuzumab-and-trastuzumab-phesgo-maintenance-therapy.pdf
00789a	Neoadjuvant treatment of adult patients with HER2-positive locally advanced, inflammatory or early breast cancer at high risk of recurrence.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	docetaxel, carboplatin and pertuzumab/trastuzumab (phesgo®)(tchp)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/789-docetaxel-carboplatin-and-pertuzumab-trastuzumab-phesgo-tchp-therapy.pdf
00790a	Neoadjuvant treatment of adult patients with HER2-positive, locally advanced, inflammatory, or early stage breast cancer at high risk of recurrence.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	pertuzumab/trastuzumab (phesgo®), paclitaxel and carboplatin therapy (train - 2)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/790-pertuzumab-trastuzumab-phesgo-paclitaxel-and-carboplatin-therapy-train-2-.pdf
00796a	Pertuzumab/ trastuzumab (Phesgo®)  is indicated in combination with DOCEtaxel in adult patients with HER2- positive metastatic or locally recurrent unresectable breast cancer, who have not received previous anti- HER2 therapy or chemotherapy for their metastatic disease.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	pertuzumab and trastuzumab (phesgo®) and docetaxel therapy - 21 day cycle	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/796-pertuzumab-and-trastuzumab-phesgo-and-docetaxel-therapy-21-day-cycle.pdf
00797a	Pertuzumab/trastuzumab (Phesgo®)  is indicated in combination with PACLitaxel  in adult patients with HER2- positive metastatic or locally recurrent unresectable breast cancer, who have not received previous anti- HER2 therapy or chemotherapy for their metastatic disease where patients are intolerant of, have had significant toxicity to or are deemed clinically unsuitable for DOCEtaxel.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	pertuzumab and trastuzumab (phesgo®) and paclitaxel therapy - 21 day cycle	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/797-pertuzumab-trastuzumab-phesgo-and-weekly-paclitaxel-therapy-21-day-cycle.pdf
00350a	Pertuzumab in combination with trastuzumab andchemotherapy for the neoadjuvant treatment of adultpatients with HER2-positive, locally advanced,inflammatory, or early stage breast cancer at high risk ofrecurrence.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	pertuzumab and trastuzumab and chemotherapy	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/350 pertuzumab and trastuzumab and chemotherapy.pdf
00350b	Pertuzumab in combination with trastuzumab andchemotherapy for the adjuvant treatment of adultpatients with HER2-positive breast cancer at high risk ofrecurrence.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	pertuzumab and trastuzumab and chemotherapy	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/350 pertuzumab and trastuzumab and chemotherapy.pdf
00253a	Adjuvant treatment of oestrogen receptor positive breast cancer in pre- or post-menopausal women.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	tamoxifen	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/253tamoxifen.pdf
00200b	HER2 positive early breast cancer (EBC).	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	trastuzumab (iv) monotherapy - 21 days	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/200-trastuzumab-iv-monotherapy-21.pdf
00285a	Following surgery, chemotherapy (neoadjuvant or adjuvant) and radiotherapy (if applicable).	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	trastuzumab subcutaneous 21 days - early breast cancer	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/285.pdf
00285b	Following adjuvant chemotherapy with doxorubicin and cyclophosphamide, in combination with paclitaxel or docetaxel.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	trastuzumab subcutaneous 21 days - early breast cancer	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/285.pdf
00285c	In combination with adjuvant chemotherapy consisting of docetaxel and carboplatin.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	trastuzumab subcutaneous 21 days - early breast cancer	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/285.pdf
00285d	In combination with neoadjuvant chemotherapy followed by adjuvant trastuzumab therapy, for locally advanced (including inflammatory) disease or tumours &gt; 2 cm in diameter.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	trastuzumab subcutaneous 21 days - early breast cancer	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/285.pdf
00659a	As a single agent is indicated for the adjuvant treatment of adult patients with HER2-positive early breast cancer who have residual invasive disease, in the breast and/or lymph nodes, after neoadjuvant taxane-based and HER2-targeted therapy.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	trastuzumab emtansine (kadcyla®) early breast cancer therapy - 21 days	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/659-trastuzumab-emtansine-kadcyla-early-breast-cancer-therapy-21-days.pdf
00545a	Adjuvant treatment of breast cancer in endocrine depleted pre- or post menopausal women.	oral-anti-cancer-medicines, breast, breast:Neoadjuvant / Adjuvant Treatments	zoledronic acid	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/545-zoledronic-acid-monotherapy.pdf
00254a	Treatment of hormone receptor positive locally advanced or metastatic breast cancer in post-menopausal women.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	anastrozole	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/254.pdf
00688a	Treatment of adult patients with unresectable locally advanced or metastatic triple-negative breast cancer (TNBC) whose tumours have PD-L1 expression ≥ 1% and who have not received prior chemotherapy for metastatic disease.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	atezolizumab and nab-paclitaxel	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/688.pdf
00212c	In combination with paclitaxel is indicated for first-line treatment of adult patients with HER2-negative metastatic breast cancer.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	bevacizumab 10 mg/kg - 14 days	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/212.pdf
00215e	In combination with paclitaxel is indicated for first-line treatment of adult patients with HER2-negative metastatic breast cancer.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	bevacizumab 15 mg/kg - 21 days	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/215.pdf
00738a	In combination with PACLitaxel for the treatment of adult patients with triple negative or HER2-negative metastatic breast cancer.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	bevacizumab 10mg/kg and paclitaxel 80mg/m2	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/00738-bevacizumab-10mg-kg.pdf
00216a	Treatment of patients with locally advanced or metastatic breast cancer.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	capecitabine	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/216.pdf
00261j	Metastatic breast carcinoma.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	carboplatin (auc 4 - 6) monotherapy - 21 days	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/carboplatin-auc4-6-monotherapy-21-days1carboplatin%20auc4-6%20monotherapy-21%20days.pdf
00251j	Metastatic breast carcinoma.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	carboplatin (auc 4 - 6) monotherapy - 28 days	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/gynaecology/251.pdf
00377b	Metastatic breast carcinoma.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	cyclophosphamide (oral) methotrexate and 5-fluorouracil (cmf)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/377.pdf
00381b	Metastatic breast carcinoma.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	cyclophosphamide (iv) methotrexate and 5-fluorouracil (cmf) therapy 21 day	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/381.pdf
00378b	Metastatic breast carcinoma.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	cyclophosphamide (iv) methotrexate and 5-fluorouracil (cmf) therapy 28 day	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/378.pdf
00741a	For the prevention of skeletal related events in adult patients with malignancies involving bone.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	denosumab 120mg	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/741-densosumab-therapy.pdf
00745a	Adjuvant Treatment of HER2 positive, High Risk Node Negative or Node Positive Breast Cancer.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	dose dense doxorubicin, cyclophosphamide (ac 60/600) 14 day followed by weekly paclitaxel (80) and trastuzumab 21 day therapy (dd ac-th)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/745-dose-dense-doxorubicin-cyclophosphamide.pdf
00745b	Neoadjuvant Treatment of HER2 positive, High Risk Node Negative or Node Positive Breast Cancer.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	dose dense doxorubicin, cyclophosphamide (ac 60/600) 14 day followed by weekly paclitaxel (80) and trastuzumab 21 day therapy (dd ac-th)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/745-dose-dense-doxorubicin-cyclophosphamide.pdf
00203h	Treatment of advanced breast cancer.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	docetaxel monotherapy 75mg/m2 - 21 day cycle	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/genitourinary/203.pdf
00202a	Docetaxel monotherapy is indicated for the treatment of patients with locally advanced or metastatic breast cancer.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	docetaxel monotherapy 100mg/m2 - 21 day cycle	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/202.pdf
00423a	Treatment of Locally Advanced or Metastatic Breast Carcinoma.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	doxorubicin 50mg/m2/docetaxel 75mg/m2(at 50/75) therapy - 21 day cycle	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/423.pdf
00205a	Monotherapy for patients with metastatic breast cancer.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	pegylated liposomal doxorubicin 50mg/m2 (caelyx®) 28 days	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/205-pegylated-liposomal-doxorubicin-50mg-m2-caelyx-%C2%AE-28-days-regimen.pdf
00263a	Metastatic breast carcinoma.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	epirubicin 75 + cyclophosphamide (ec75)	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/263.pdf
00228a	Treatment of locally advanced or metastatic breast cancer which has progressed after at least one chemotherapeutic regimens for advanced disease. Prior therapy should have included an anthracycline and a taxane in either the adjuvant or metastatic setting unless patients were not suitable for these treatments.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	eribulin	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/228-eribulin-monotherapy.pdf
00743a	Treatment of locally advanced or metastatic breast cancer which has progressed after at least one chemotherapeutic regimens for advanced disease. Prior therapy should have included an anthracycline and a taxane in either the adjuvant or metastatic setting unless patients were not suitable for these treatments.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	eribulin monotherapy - 28 days	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/eribulin-monotherapy-28-day743.pdf
00322a	Treatment of hormone receptor-positive, HER2/neu negative advanced breast cancer, in combination with exemestane, in postmenopausal women without symptomatic visceral disease after recurrence or progression following a non-steroidal aromatase inhibitor.	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	everolimus and exemestane	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/322-everolimus-and-exemestane-therapy.pdf
00376c	"Advanced breast cancer after relapse or disease progression, in women with natural or artificially induced postmenopausal endocrine status.
Advanced breast cancer after relapse or disease porgression in women with natural or artificially induced post menopausal endocrine status."	genitourinary:Prostate Chemotherapy Regimens, breast, breast:Locally Advanced / Metastatic Regimens, sarcoma, oral-anti-cancer-medicines, genitourinary	exemestane	https://www.hse.ie/eng/services/list/5/cancer/profinfo/chemoprotocols/breast/376.pdf
